

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.814  000.807: locale set
001.344  000.530: inits 1
001.373  000.029: window checked
001.375  000.003: parsing arguments
004.564  003.188: expanding arguments
004.623  000.059: inits 2
005.155  000.532: init highlight
005.156  000.001: waiting for UI
008.336  003.180: done waiting for UI
008.365  000.029: init screen for UI
008.388  000.022: init default mappings
008.433  000.045: init default autocommands
012.307  000.078  000.078: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/ftplugin.vim
012.836  000.034  000.034: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/indent.vim
013.796  000.133  000.133: sourcing /Users/klasseg/.vim/vimrc
014.606  000.258  000.258: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-sandwich/autoload/sandwich.vim
037.641  000.068  000.068: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-lightline-coc/autoload/lightline/coc.vim
037.759  023.878  023.552: sourcing /Users/klasseg/.vim/plugin-conf.vim
048.695  004.131  004.131: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/papercolor-theme/colors/PaperColor.vim
049.419  000.072  000.072: sourcing /opt/homebrew/Cellar/neovim/0.7.0/share/nvim/runtime/filetype.lua
053.128  000.010  000.010: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/llvm.vim/ftdetect/llvm-lit.vim
053.186  000.008  000.008: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/llvm.vim/ftdetect/llvm.vim
053.246  000.008  000.008: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/llvm.vim/ftdetect/tablegen.vim
053.389  000.019  000.019: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/rust.vim/ftdetect/rust.vim
053.508  000.010  000.010: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/ultisnips/ftdetect/snippets.vim
053.606  000.007  000.007: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim/ftdetect/arc.vim
053.722  000.007  000.007: sourcing /Users/klasseg/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
